LETARTRE, Anne - Normandel
LETARTRE, Barbe - La Poterie-au-Perche
LETARTRE, Charles - Normandel
LETARTRE, Elisabeth - Normandel
LETARTRE, Marie - La Poterie-au-Perche
LEVESQUE dit La France, Jacques - Alençon
LOISEAU dit Grandinière, Jacques - Tourouvre
LOUSCHE, Louise - Tourouvre
LUCAS dit La Violette, Pierre - Chandai
MABILLE, François - Tourouvre
MABILLE, Michelle - Tourouvre
MAHEU, Jacques - Bubertré
MAHEU ou MAHEUST dit Les Hazards Sieur des Hazards, Pierre - Mortagne-au-Perche
MAHEU ou MAHEUST dit Point du Jour, Zacharie - Mortagne-au-Perche
MAHEUX, René - Saint-Langis-lès-Mortagne
MALENFANT, Jean - Tourouvre
MALLET, Denis - Alençon
MALLET, Perrine - Courgeon
MANOVELY DE REVILLE (de), Marie-Geneviève - La Chapelle-Montligeon
MARAIS dit Labarre, Marin - Alençon
MARTIN dit Saint-Antoine ou Versailles, Antoine-Gabriel - La Ferté-Macé
MAUGER, Louise - Igé
MERCIER, Jean - Saint-Mard-de-Réno
MERCIER, Julien - Tourouvre
MESANGE, Marie - La Ventrouze
MICHEL, Marie - Saint-Martin-du-Vieux-Bellême
MINGOT dit Dumaine, Louis - Alençon
MORIN, Claire - Mortagne-au-Perche
MULLIER, Marguerite - La-Poterie-au-Perche
NORMAND, Gervais - Igé
NORMAND dit Le Guay, Jean - Igé
NORMAND, Jean - Igé
NORMAND dit La Brière, Pierre - Pouvrai
PARADIS, Guillaume - Mortagne-au-Perche
PARADIS, Jacques - Mortagne-au-Perche
PARADIS, Jean - Mortagne-au-Perche
PARADIS, Marie - Mortagne-au-Perche
PARADIS, Pierre - Mortagne-au-Perche
PARADIS dit Le Jeune, Pierre - Mortagne-au-Perche
PAYSAN, Pierre - Trun
PELLETIER, Antoine - Bresolettes
PELLETIER dit Globoteur, Guillaume - Bresolettes
PELLETIER dit Globoteur, Guillaume - Tourouvre
PELLETIER dit Globoteur, Jean - Tourouvre
PEUVRET Sieur de Margontier, François - Bellême
PEUVRET Seigneur du Mesnu de Gauderville, Jean-Baptise - Bellême
PINGUET, Françoise - Tourouvre
PINGUET, Henri - Tourouvre
PINGUET, Noël - Tourouvre
PINGUET Sieur de la Glardière, Pierre - Tourouvre
POISSON, Barbe - Mortagne-au-Perche
POISSON, Jean - Mortagne-au-Perche
POISSON, Jean - Mortagne-au-Perche
POISSON, Jeanne - Mortagne-au-Perche
POISSON, Louise - Mortagne-au-Perche
POISSON, Mathurine - Mortagne-au-Perche
PROVOST dit l’Ainé, François - Tourouvre
PROVOST, Mathurin - Tourouvre
QUEQUEJEU, Marie - Alençon
RAGEOT, Gilles - L’Aigle
RENOUARD, Marie - Mortagne-au-Perche
RIVARD dit Lavigne, Nicolas - Tourouvre
RIVARD dit Loranger, Robert - Tourouvre
RIVET, Anne - Sées
ROBIN, Mathurine - Mortagne-au-Perche
ROGER, Renée - La Ventrouze
ROULEAU dit Sansoucy, Gabriel - Tourouvre
ROUSSIN, Françoise - Tourouvre
ROUSSIN, Jean - Tourouvre
ROUSSIN, Louise - Tourouvre
ROUSSIN, Madeleine - Tourouvre
ROUSSIN, Nicolas - Tourouvre
SIGOUIN, Jean - La Ferté-Macé
SUPERNANT dit La Fontaine, Marin - Saint-Philbert-sur-Orne
TAVERNIER, Eloi - Randonnai
TAVERNIER, Marguerite - Randonnai
TAVERNIER, Marie - Randonnai
TREMBLAY, Pierre - Randonnai
TROTTIER Sieur des Ruisseaux, Antoine - Igé
TROTTIER, Gilles - Igé
TROTTIER, Jules - Igé
TROTTIER, Julien - Igé
TROTTIER, Pierre - Igé
TRUDEL, Jean - Parfondeval
TURGEON, Anne - Mortagne-au-Perche
TURGEON, Charles - Mortagne-au-Perche
TURGEON, Jacques - Mortagne-au-Perche
TURGEON, Marie-Claire - Mortagne-au-Perche
VALIN, Charles - Rémalard
VERDIER, Michel - Mortagne-au-Perche
