ARTAGUIETTE (d’), Jean-Baptiste-Martin - Mendionde
LOURTEIG, Pierre - Arthez-de-Béarn
LOUSTALET, Jean - Bastanes
LOYARD, Jean-Baptiste - Pau
LUXERERIA (de), Sabenne ou Sabine - Saint-Étienne-de-Baïgorry
MAISONNEUVE, Jean-Baptiste - Bayonne
MARGUERIE ou MALGERIE, Jean - Hendaye
MARTEL, Pierre-Gratien - Labastide-Clairence
MARTEL, Raymond - Labastide-Clairence
MARTISSANS, Pierre - Bayonne
MECHERVE, Bertrand - Larressore
MILLARD dit Basque, Jean - Bidart
MILLET, Joseph - Bayonne
MONGEAU, Jean - Orthez
MONIC-D’HAUTVONET (de), Joseph - Oloron-Sainte-Marie
NOGUES, Antoine - Bayonne
OSTIGUI, Dominique - Arcangues
PARENT, Jean - Saint-Jean-de-Luz
PINZÈZE, Jean-Noël - Bayonne
POIRIER, Jean - Pau
PORTNEUF, Pierre - Oloron-Sainte-Marie
ROSTEGUI ou AROSTEGUY, Pierre - Bayonne
ROY, Jacques - Bayonne
SAINT-JEAN, Pierre - Navarrenx
SAINT-PÉ (de), Jean - Pau
DE SALABERRY, Michel - Ciboure
SALABERY, André - Guétary
SALIER dit Monlion, Pierre - Oloron-Sainte-Marie
SALOVAIN, Mathieu - Orion
SALTAGUAIVE ou SAINT-GRÉS (de) dit la Giroﬂée, Martin - Macaye
SAUTOUX, Léon - Bayonne
SORBE, Pierre - Bardos
SOYA ou LOYA, Pierre - Bayonne
STEGUI, Pierre - Bayonne
TARISSERY, Isabelle - Bayonne
TURBIDE ou TOURBIDE ou ITURBIDE, Pierre - Sare
VERGES (de), Bernard - Urt
VILLIS ou LOYA ou MILLOT, Joseph - Biriatou
VISANDEGUY (de), Jeanne - Hendaye
VISCOMPTE, Jean-Baptiste - Arudy
ABBADIE DE SAINT-CASTIN, Jean-Vincent - Escout
